I18H4;I18H2;I18L4;I18L1;I18L2;I18H1;I18L3;I18H3
0.589095;0.764345;0.298984;0.0864324;0.813476;0.283243;0.638226;0.684877
0.588332;0.859649;0.311863;0.103891;0.819009;0.283815;-0.249757;0.694226
0.6035;0.78352;0.284197;0.0769878;0.834464;0.277614;0.669422;0.725517
0.615807;0.698805;0.286582;0.124592;0.821966;0.282289;-0.0092538;0.703384
0.602356;0.695943;0.285246;0.10723;0.820345;0.274847;-0.0264258;0.710635
0.599494;0.959629;0.291733;0.0855738;0.814048;0.290684;1.12543;0.713592
0.570015;0.760243;0.29927;0.105226;0.817483;0.310622;-1.61503;0.703384
0.57364;0.651773;0.287345;0.0574308;0.83246;0.311767;3.02294;0.711398
0.58795;0.790198;0.2862;0.0873864;0.823779;0.290684;-3.51148;0.701572
0.572114;0.819486;0.274561;0.116102;0.824447;0.276183;5.59359;0.720365
0.590908;0.809087;0.26836;0.06678;0.824638;0.291256;26.8655;0.713974
0.577265;0.615425;0.283815;0.103414;0.818246;0.283433;15.9427;0.742689
0.58671;0.827977;0.294118;0.092061;0.808801;0.308428;9.88697;0.717503
0.579364;0.874341;0.292973;0.075843;0.809469;0.317491;17.1173;0.713497
0.585374;0.655589;0.288013;0.15035;0.807752;0.3028;7.52382;0.778273
0.572591;0.679439;0.294881;0.108565;0.806798;0.302227;5.85556;0.643568
0.561238;0.735916;0.299079;0.138139;0.822062;0.277328;16.1908;0.861271
0.61781;0.856501;0.281144;0.168858;0.813667;0.288108;-13.9478;0.600543
0.457729;0.662267;0.281144;0.0756522;0.815479;0.292019;44.0529;0.750035
0.680011;0.618383;0.273226;0.179161;0.828167;0.304421;86.9475;0.835227
0.447521;0.908494;0.245941;0.0503712;0.830171;0.296312;13.8558;0.381791
0.611991;0.747936;0.250711;0.168572;0.824828;0.260824;40.6456;1.25279
0.726089;0.657878;0.274561;0.0695466;0.824161;0.308428;27.6522;0.102173
0.209975;0.783043;0.260919;0.0248994;0.833128;0.218752;10.4073;1.30879
1.21845;0.595487;0.25882;0.308142;0.825401;0.268169;36.2902;0.497988
-0.185458;1.08222;0.292687;-0.243079;0.829694;0.261778;4.0359;0.429968
1.31108;0.311863;0.200912;0.584325;0.832937;0.182023;21.8621;1.87451
0.240408;0.746505;0.319018;-0.360898;0.823111;0.432448;14.0446;-1.22351
0.119155;1.1054;0.218657;0.411365;0.825496;0.0375876;8.50214;3.73749
2.12046;-0.098262;0.203584;0.269219;0.824256;0.512298;15.6695;-3.13876
-2.34054;1.73762;0.385798;-0.603405;0.825115;0.121349;4.91768;7.84407
4.81102;-0.669326;-0.0261396;1.59642;0.847343;0.203393;15.0869;30.2988
-4.69597;1.87375;0.650151;-2.04414;0.858791;0.657115;3.56224;10.5183
8.01389;0.253955;-0.122207;2.86839;0.845816;-0.546547;6.33914;12.773
31.2372;-0.49732;0.489974;-2.66338;0.840951;1.43024;10.0374;18.1287
9.24769;3.81581;0.438935;3.11166;0.84429;-1.06447;5.19644;1.64508
14.2134;-5.50401;-0.447712;27.9351;0.844099;1.3915;8.74284;17.7415
11.8041;20.9238;1.62657;13.7348;0.831793;-0.0452196;4.6165;3.0735
7.68018;26.5884;-1.58545;9.62128;0.836658;-0.836753;3.58198;3.07198
10.4655;2.9345;2.2959;17.2509;0.851159;3.73338;3.21326;13.7723
6.75995;22.2002;-1.22751;4.2288;0.82397;-6.65253;2.28006;-21.0823
4.78231;6.49235;0.418997;9.56786;0.857074;19.2826;1.70823;56.9296
0.726376;7.07391;2.75076;10.301;0.833128;26.1166;0.652918;66.3245
7.13172;15.7286;-6.7506;-2.8144;0.811282;6.18316;-0.236878;5.35833
-17.6011;-6.0143;27.7455;13.3939;0.899908;17.1629;-0.800406;53.0129
48.6213;19.1502;23.4563;-10.1029;0.723227;9.21106;-1.67999;19.7359
65.2288;-13.8018;3.27604;7.68886;0.955717;6.33809;-2.97314;20.9117
9.5048;19.9699;21.6286;77.8058;0.739922;9.39184;-4.2784;32.877
47.0458;86.5957;5.33391;22.6274;0.843622;6.11094;-5.06717;4.79185
17.1278;12.9461;7.6527;28.5844;1.01315;-0.0436932;-4.85615;30.1856
21.6625;34.5487;10.4814;44.2957;0.431685;9.20047;-7.52582;8.03659
28.8828;39.9453;-0.149492;4.85386;1.48929;-10.3926;-6.3524;12.7979
7.59794;6.44494;6.21703;35.7379;0.041499;8.45587;-5.61954;16.8684
28.3472;36.9428;-0.0118296;12.384;1.54014;75.302;-10.0644;6.19871
5.80337;10.5989;-3.93783;17.5;0.509722;24.3194;-8.70115;15.5556
18.1638;21.5345;2.17855;22.0492;0.327985;31.0185;-8.62397;5.72686
15.1963;19.4342;-12.2844;3.91064;2.50988;40.882;-11.2366;11.4113
6.32645;5.66142;-1.37996;21.1448;-2.25631;4.76075;-11.0994;7.08688
15.2168;19.7718;1.52106;6.30231;5.28363;34.7542;-10.1559;4.9774
3.00644;7.32729;-11.6212;12.4419;-4.58559;12.6057;-11.394;8.00664
11.0692;12.3439;61.105;9.8656;7.44912;19.6844;-13.6643;3.65306
6.95027;9.3367;44.0078;4.77591;31.8632;19.8813;-12.5339;7.77109
6.79458;7.41086;13.6748;11.0671;9.91225;6.09501;-15.4797;3.94861
8.86304;10.2509;47.373;3.5236;11.1524;20.7766;-15.1926;3.64142
3.43125;6.05885;10.009;7.96953;12.4658;6.10694;-12.7151;5.19873
5.03512;6.7713;27.9415;5.55457;6.90658;12.9532;-14.6779;0.293069
3.12473;5.92014;21.6287;5.23212;4.25703;8.37431;-12.428;0.277328
4.27964;6.3421;7.4495;6.53614;11.8659;5.30357;-14.467;0.0644904
1.2505;4.68996;24.7665;1.7442;-3.46932;10.5216;-13.5815;-1.42547
0.63317;4.25131;5.40145;3.55823;12.2209;5.74728;-12.2533;-2.62989
2.60948;3.16909;16.7042;1.89006;87.956;8.9925;-15.1436;-3.00758
-1.72703;2.91409;10.568;-2.81564;34.3083;5.52328;-12.087;-1.8687
-0.740018;0.718171;8.13209;0.945986;16.9051;6.40554;-14.5088;-5.6825
-0.35174;-1.31089;13.3409;-0.692699;39.8409;4.72812;-13.6596;-6.58298
-5.2781;0.470227;7.45494;-4.66372;9.53046;3.73377;-12.9982;-4.10363
-3.11443;-1.99548;9.84414;-0.0006678;31.0441;4.3552;-13.8107;-7.85838
-3.0984;-4.40662;6.72541;-3.46836;12.0081;-0.585184;-10.7561;-7.85762
-7.30039;-2.64535;9.0671;-5.1785;14.9441;2.19544;-14.3166;-5.80089
-5.31979;-2.42011;4.7264;-3.23988;19.8888;1.53289;-12.7705;-9.94402
-6.58346;-5.82751;7.46009;-6.29945;7.86001;-2.3768;-12.6916;-10.6911
-8.46475;-4.64293;5.94142;-6.63965;17.385;0.47948;-13.0111;-10.3561
-8.36429;-5.59254;1.23925;-7.34389;6.29573;-1.97831;-11.6364;-13.0795
-11.4352;-8.71116;5.9707;-6.98881;15.2277;-5.023;-12.5289;-10.7423
-12.6844;-7.24305;-0.089199;-9.46397;9.51997;-2.42955;-11.347;-9.68157
-9.73538;-8.44977;0.80861;-11.3512;9.11242;-4.98007;-12.7788;-10.0459
-8.31964;-10.9642;1.7815;-11.0769;14.5282;-6.65262;-9.47456;-9.32707
-10.807;-12.1039;-3.18045;-13.2971;6.7982;-5.46737;-10.6064;-11.7801
-9.95604;-11.7116;-1.97841;-10.0235;11.1425;-6.90753;-12.1111;-11.5364
-9.53695;-14.5689;-4.8032;-10.6821;4.79108;-8.32279;-10.3675;-11.9116
-11.5292;-12.5075;-6.79782;-11.4322;5.26465;-9.70809;-11.5008;-12.3533
-10.0615;-9.8802;-3.93582;-10.1416;8.67081;-12.1864;-8.21489;-13.1049
-10.5958;-13.9591;-4.32744;-12.3717;4.95918;-12.9246;-9.14504;-14.2443
-12.0255;-11.3278;-4.45661;-11.8265;6.62839;-9.14886;-10.1923;-13.5841
-11.7692;-13.3103;-4.51824;-14.2965;4.65418;-10.104;-8.59411;-14.107
-13.9843;-14.2462;-5.99904;-12.5407;3.21155;-11.3318;-4.07072;-13.9892
-12.9423;-12.1667;-5.68221;-13.9845;4.96376;-9.64103;-4.0027;-14.528
-12.6332;-16.1616;-6.8481;-16.4585;0.650437;-12.058;-7.99919;-13.0596
-13.2354;-14.1371;-7.45236;-12.5516;-2.54661;-11.4568;-5.02615;-15.4579
-13.1416;-15.0028;-8.4926;-14.6626;-0.656161;-11.9364;-5.75148;-14.4417
-16.1109;-16.3851;-8.70611;-13.9103;-3.44079;-13.0912;-2.45836;-12.3814
-13.6785;-14.3178;-8.94613;-15.2183;-5.45774;-12.605;-3.33833;-15.7986
-14.5666;-17.229;-11.9155;-14.7076;-3.87343;-15.3687;-5.40584;-13.1413
-13.2761;-14.9711;-9.01664;-14.1894;-5.26971;-14.3778;-0.711302;-14.376
-11.5561;-14.2902;-9.01625;-17.2326;-6.46459;-13.5644;-1.64384;-12.9713
-15.2498;-15.6888;-11.5237;-13.3225;-6.8875;-15.2553;2.00827;-12.5076
-12.7906;-12.8125;-10.6714;-15.2864;-7.47049;-13.5769;1.82491;-12.9422
-14.2982;-15.9835;-12.1845;-15.8885;-8.38499;-15.7318;1.57982;-10.9083
-12.1681;-14.3333;-10.5499;-13.9484;-10.2741;-15.426;3.24226;-13.1595
-12.7101;-13.0113;-11.785;-14.0741;-9.18215;-14.2024;2.49624;-8.01971
-14.4209;-14.5009;-13.51;-12.6916;-10.5527;-16.6743;2.07743;-8.83576
-11.0901;-11.7338;-11.381;-13.0019;-12.3053;-12.2143;-0.468223;-9.98046
-13.59;-14.0035;-12.673;-12.5203;-11.7601;-14.1131;2.04175;-10.109
-8.85531;-12.1338;-12.2964;-13.72;-15.6742;-15.2654;1.69011;-11.3404
-8.57417;-12.7044;-12.9614;-10.9838;-13.325;-12.6011;1.46429;-6.02699
-10.0908;-12.4664;-13.3744;-9.01931;-10.2363;-14.0539;2.20002;-7.34437
-8.43193;-8.84721;-10.931;-10.0081;-13.5636;-11.5531;3.80799;-5.03178
-8.14783;-10.7578;-12.4494;-9.49068;-12.6528;-13.3549;4.40796;-6.38245
-3.83594;-9.35864;-11.1081;-11.0775;-12.5054;-12.2712;2.88995;-5.55342
-6.63125;-10.6117;-8.74837;-8.94652;-14.7573;-11.488;3.9342;1.28046
-5.67926;-7.97907;-10.1554;-6.24441;-15.4898;-10.7176;1.78989;-6.28991
-6.21464;-6.38216;-8.52857;-4.45041;-14.732;-7.70145;4.16049;-4.03561
-7.04577;-7.21815;-9.45214;-6.50618;-14.4135;-9.82916;3.76572;-0.18851
3.98944;-4.94792;-9.61394;-7.7461;-15.0285;-8.28826;1.92765;-1.88921
0.557422;-6.31042;-7.87994;-1.35821;-15.9321;-9.9382;2.97018;3.51807
-4.14666;-0.685163;-9.29396;-3.7891;-15.7311;-6.85859;1.95513;-2.36726
-1.13736;-2.2024;-4.80291;-3.43841;-15.6599;-4.36121;3.39147;-1.69812
-5.18346;-5.42149;-4.22183;0.710348;-16.4208;-8.0385;0.964494;2.44959
0.0873864;-2.23465;-5.78563;-4.25646;-13.1126;-5.32399;-0.0602928;-1.1034
-1.92822;-1.5389;-2.3393;0.94446;-14.733;-8.23741;2.19077;-0.42701
-6.5037;2.90274;-4.74262;0.515542;-15.5445;-3.45176;1.19107;-0.335522
0.119441;-1.39732;-4.43715;-5.27123;-13.6163;3.24112;-0.380169;1.65109
-2.47573;-2.12637;-5.70139;0.0482724;-15.3361;-3.51396;-1.32158;0.265021
